random_state_test_split,random_state_rf,score
4,0,0.9333863573031591
4,1,0.9419140091686664
4,2,0.9263407652008155
4,3,0.9400558623394384
4,4,0.9322875479425187
4,5,0.9171612124979355
4,6,0.9305480775352393
4,7,0.9404099122860242
4,8,0.942601231650611
4,9,0.9368828767607796
4,10,0.9393060754535881
4,11,0.9334253004289315
4,12,0.9366375003065648
4,13,0.9353317099237747
4,14,0.9396412831375546
4,15,0.9270423491824535
4,16,0.9326350075968012
4,17,0.9407511749118843
4,18,0.9318173965157135
4,19,0.9356655915421862
4,20,0.9323176007498433
4,21,0.9287872278143249
4,22,0.9349633490908514
4,23,0.9322924103117667
4,24,0.926462268588076
4,25,0.9305150956021184
4,26,0.9385095008678237
4,27,0.9269538664944388
4,28,0.9353731657787222
4,29,0.9282355510225341
4,30,0.9381927560724531
4,31,0.9351783064730006
4,32,0.9347172678649839
4,33,0.9430007905913009
4,34,0.9318791562343707
4,35,0.9255888285531493
4,36,0.9315434678548322
4,37,0.9340105039659887
4,38,0.9379482462242372
4,39,0.9323170238903535
4,40,0.9400075712083699
4,41,0.9334801204422094
4,42,0.9349507745315169
4,43,0.9338753723380262
4,44,0.9319763100232845
4,45,0.9278565635952261
4,46,0.9395906401341146
4,47,0.946002714362641
4,48,0.937311314064455
4,49,0.9241880027670658
4,50,0.9361244077803249
4,51,0.9340188822856198
4,52,0.9365523108643299
4,53,0.9349085385320143
4,54,0.93432450033502
4,55,0.942147468803734
4,56,0.9314552731114387
4,57,0.9414816375701968
4,58,0.9232278560856138
4,59,0.9430761638437524
4,60,0.9273316155286212
4,61,0.9285216210747097
4,62,0.9453260661327881
4,63,0.9259036695626541
4,64,0.9426793578377692
4,65,0.9316263745821787
4,66,0.9273568799681228
4,67,0.9417905461224219
4,68,0.9228377439841419
4,69,0.9327473517830711
4,70,0.9267237843197064
4,71,0.9369080644559012
4,72,0.9323019070640118
4,73,0.9443326078310713
4,74,0.9333560027416019
4,75,0.9384073848617221
4,76,0.930117819536809
4,77,0.9355823145523876
4,78,0.9094999037964892
4,79,0.9205901694498996
4,80,0.933303118422927
4,81,0.9431775565632546
4,82,0.9389517371246754
4,83,0.9385275444125809
4,84,0.9410489072063418
4,85,0.932301302709316
4,86,0.9390780492111838
4,87,0.9264644691966912
4,88,0.9389293526274523
4,89,0.9394845977265096
4,90,0.9232985021468931
4,91,0.9325048792501057
4,92,0.9287703866249332
4,93,0.9243705266393106
4,94,0.9349837561144732
4,95,0.9375960465248285
4,96,0.9367399805712568
4,97,0.9304787735595393
4,98,0.9391728365813106
4,99,0.9332940996014136
4,100,0.9394052175420217
5,0,0.8307166680045219
5,1,0.7575165015202451
5,2,0.8229055599720307
5,3,0.7912935242926585
5,4,0.8012234500530109
5,5,0.8047211060373287
5,6,0.8047361731673995
5,7,0.838422471790967
5,8,0.7777430320293203
5,9,0.8100407590891605
5,10,0.7708334911058434
5,11,0.7693299278069836
5,12,0.8269221604709356
5,13,0.788716258791303
5,14,0.814560503126015
5,15,0.800025748938173
5,16,0.8208727435938241
5,17,0.8192042033482091
5,18,0.8297745548480306
5,19,0.8069556839681256
5,20,0.7995742421501568
5,21,0.8185726302039601
5,22,0.7998664480194957
5,23,0.7908597666814554
5,24,0.8136379569215366
5,25,0.7842385382723523
5,26,0.7726961571582804
5,27,0.7676647188936816
5,28,0.7603109136151394
5,29,0.8318696774993781
5,30,0.8006448288764226
5,31,0.6904668308799256
5,32,0.7957359950119001
5,33,0.8004337142548252
5,34,0.8029171113029715
5,35,0.8261424501539474
5,36,0.7925899416123364
5,37,0.8033513151434454
5,38,0.8093317262633803
5,39,0.7774290015919403
5,40,0.7838554873546113
5,41,0.8146278934086688
5,42,0.8288583658536175
5,43,0.8052684248534062
5,44,0.8022844310576742
5,45,0.8180978366731014
5,46,0.8030251817903938
5,47,0.8336199865339965
5,48,0.7969859234297867
5,49,0.7915965087695769
5,50,0.8369999236280827
5,51,0.8141791682950406
5,52,0.7814610019694668
5,53,0.7920374668194536
5,54,0.7997025002302112
5,55,0.8578372150639666
5,56,0.8051688171059308
5,57,0.7881572474082181
5,58,0.7720853733567261
5,59,0.8126479302863832
5,60,0.7996029424453932
5,61,0.8152952590496684
5,62,0.7375626630968231
5,63,0.8001256417613061
5,64,0.8183941853672275
5,65,0.8144862977720226
5,66,0.7776241696536851
5,67,0.80006691901512
5,68,0.7722221419870066
5,69,0.7600976177640515
5,70,0.7939533767845017
5,71,0.8323393217853383
5,72,0.7912014854298333
5,73,0.8064221992440332
5,74,0.7766487690026085
5,75,0.7703554641071991
5,76,0.8212334673402557
5,77,0.7735779612885582
5,78,0.826698878820266
5,79,0.7999383739818013
5,80,0.8081613579278347
5,81,0.8141790903285656
5,82,0.7728144681357697
5,83,0.8097047951596508
5,84,0.8223406717256395
5,85,0.8164839423627903
5,86,0.8048038409923868
5,87,0.7953139842351188
5,88,0.8037981443551149
5,89,0.7970798503177814
5,90,0.7856558123065922
5,91,0.826382030461529
5,92,0.8162838166636254
5,93,0.8273405074187272
5,94,0.7540479948768442
5,95,0.7953689089034333
5,96,0.7905931535766049
5,97,0.8009254154741094
5,98,0.7868589074879299
5,99,0.8361953026673966
5,100,0.794711800238804
6,0,0.9044786848769826
6,1,0.8930210095332368
6,2,0.8996779104031835
6,3,0.9181987769207243
6,4,0.9042654400316488
6,5,0.8991125566253748
6,6,0.8788181434647487
6,7,0.8982365647977033
6,8,0.9041411176891169
6,9,0.9050301694772187
6,10,0.89829533427002
6,11,0.8955516072179583
6,12,0.9040874901054499
6,13,0.9159292701768289
6,14,0.8987457207524931
6,15,0.9008777096323031
6,16,0.9030244910436532
6,17,0.8992915112238747
6,18,0.9118074642255568
6,19,0.9125518696703239
6,20,0.8975209399789351
6,21,0.922394054547623
6,22,0.9035517393302754
6,23,0.8920665884888269
6,24,0.9031431897775428
6,25,0.8950558527285015
6,26,0.9062191761908182
6,27,0.912319021501323
6,28,0.9192379656329974
6,29,0.8858714764929088
6,30,0.8978937633066968
6,31,0.9095002149655269
6,32,0.913757439222682
6,33,0.9098114695743382
6,34,0.88887534561525
6,35,0.9085969856344058
6,36,0.901516482298746
6,37,0.9015725923039258
6,38,0.8946287137864853
6,39,0.8962401026978937
6,40,0.871156192508614
6,41,0.8927101328013426
6,42,0.9183485891676378
6,43,0.9127616644243218
6,44,0.908569558384358
6,45,0.9014914379257504
6,46,0.9079998939668767
6,47,0.9040041302626611
6,48,0.9156798435908884
6,49,0.9175556464444731
6,50,0.9180370494976046
6,51,0.8950407610706711
6,52,0.9022260628636013
6,53,0.9083698199478785
6,54,0.8928365959687811
6,55,0.8904577808900026
6,56,0.9131510728633996
6,57,0.8840260822368007
6,58,0.8938249989633561
6,59,0.880345633727768
6,60,0.9104473724166203
6,61,0.893314581932477
6,62,0.90968912096095
6,63,0.9074823875225616
6,64,0.8979457153016944
6,65,0.9085537848057048
6,66,0.8957361996277245
6,67,0.8967844851149415
6,68,0.8904625008724543
6,69,0.8986417100880677
6,70,0.9030310049241222
6,71,0.8862892984104112
6,72,0.913713853513187
6,73,0.8775392639907811
6,74,0.9228919865435009
6,75,0.9148242083303272
6,76,0.882040488090339
6,77,0.8837055323487357
6,78,0.8967876802697494
6,79,0.9199152184808375
6,80,0.8967369265452101
6,81,0.9151286153829776
6,82,0.9021110371185647
6,83,0.8860427824453538
6,84,0.8997874709464067
6,85,0.8993382576992578
6,86,0.9072743562553127
