Borough,Year,Crime rate,Primary & Utilities,Manufacturing,Construction,Wholesale,Retail,Transportation and Storage,Accomodation and food service activities,Information and Communication,Financial and insurance activities,"Professional, Real Estate, Scientific and technical activities",Administrative and support service activities,Public Admin and defence,Education,Health,"Arts, entertainment and recreation",Other services,Dwellings per hectare,Average number of homeless people per 1000,Attainment,Happiness score out of 10,Anxiety score out of 10,Worthwhile score out of 10,Life satisfaction score out of 10,Ratio of house prices to earnings,Wage per hour,Population per hectare,Life expectancy of men at 65,Life expectancy of women at 65,% of Public sector jobs,% of Private sector jobs,Consumer expenditure on Alcoholic beverages (£mn),Consumer expenditure on Pubs and Wine bars (£mn)
Newham,2016,86.0,1.951,3.415,5.854,3.415,15.61,5.854,8.78,2.927,0.976,7.805,10.732,5.854,11.707,10.732,2.195,2.195,28.6,11.89,50.9,7.62,2.57,7.92,7.73,12.24,11.5,94.6,18.5,21.1,22.6,77.4,34.60974894,60.55891681
Redbridge,2016,65.0,0.336,2.349,6.711,4.027,10.738,4.027,6.04,6.04,1.678,10.738,9.396,4.698,12.081,16.107,2.349,2.685,18.2,4.72,53.9,7.67,2.97,8.07,7.87,11.26,14.44,53.1,19.3,21.7,20.7,79.3,25.77378104,42.80740312
Richmond upon Thames,2016,57.0,0.377,1.886,3.771,3.143,8.799,2.514,8.799,8.799,1.571,18.856,7.542,1.886,10.057,8.799,10.057,3.143,14.3,2.76,54.6,7.65,2.99,7.92,7.74,14.38,19.76,34.1,20.4,23.2,12.0,88.0,44.3437135,81.94151837
Southwark,2016,100.0,0.436,0.981,2.617,1.963,4.798,5.234,6.107,10.033,3.053,25.736,10.469,6.107,6.979,10.469,1.963,3.053,43.4,6.64,52.9,7.35,3.27,7.66,7.49,14.72,15.25,108.7,18.5,21.3,17.2,82.8,59.50605438,109.1284248
Sutton,2016,53.0,0.319,2.838,6.385,4.966,8.514,5.676,4.966,6.385,2.128,8.514,17.027,2.483,8.514,17.027,2.128,2.128,18.6,3.69,58.7,7.28,3.59,7.78,7.45,10.54,14.88,46.2,19.1,21.3,18.6,81.4,39.29597629,65.28925893
Tower Hamlets,2016,91.0,0.254,1.272,2.18,2.18,3.27,1.817,5.451,9.811,25.436,16.352,11.991,3.634,5.087,8.358,1.453,1.453,52.5,4.55,50.2,7.58,2.86,7.71,7.48,12.82,15.66,154.5,17.8,20.4,15.4,84.6,59.14225889,108.9867435
Waltham Forest,2016,76.0,0.892,5.204,5.204,6.691,10.409,5.948,5.948,2.602,1.338,7.435,13.383,3.346,11.896,14.87,2.23,2.602,26.1,10.5,50.4,7.51,2.58,7.69,7.55,13.2,13.31,71.2,18.8,21.6,20.2,79.8,23.24809302,38.53633319
Wandsworth,2016,73.0,0.519,1.514,3.46,5.19,10.381,3.46,8.651,5.19,1.081,13.841,8.651,3.893,9.516,19.031,3.028,2.595,40.2,6.34,52.1,7.44,3.29,7.73,7.53,15.12,19.11,92.4,18.7,21.3,21.0,79.0,105.5130808,196.1752157
Westminster,2016,189.0,0.431,0.575,2.299,2.299,8.046,1.868,12.356,10.632,6.609,22.557,7.902,8.477,4.454,4.454,3.592,3.448,55.4,4.85,54.5,7.41,3.14,7.57,7.6,23.48,17.93,115.2,21.2,23.3,12.8,87.2,106.158637,213.0887516
Barking and Dagenham,2017,86.0,1.46,8.212,6.387,10.949,9.124,9.124,4.562,2.737,0.912,4.106,10.949,4.106,12.774,10.949,1.825,1.825,19.7,7.05,46.7,7.38,3.02,7.74,7.5,10.0,11.97,58.3,17.4,20.5,17.3,82.7,21.46369837,32.41353852
